代码,简称,基金经理,基金公司,资产规模,评级评分,涨幅评分,业绩评分,综合评分,上海证券评级,招商证券评级,济安金信评级,晨星评级,近3月涨幅,近3月四分位,近6月涨幅,近6月四分位,近1年涨幅,近1年四分位,近2年涨幅,近2年四分位,近3年涨幅,近3年四分位,近5年涨幅,近5年四分位,选证能力,收益率,抗风险,稳定性,管理规模
485119,工银信用纯债债券,李敏,工银,73.59亿元,100.0,32,74.0,77.60000000000001,5,5,5,5,1.41%,一般,1.26%,不佳,4.32%,一般,11.37%,优秀,14.48%,优秀,17.35%,一般,80.0,75.0,70.0,75.0,90.0
400030,东方添益债券,吴萍萍,东方,183.90亿元,100.0,96,75.0,84.6,5,5,5,5,2.25%,优秀,2.24%,良好,5.89%,优秀,13.09%,优秀,15.57%,优秀,28.61%,优秀,75.0,85.0,70.0,70.0,100.0
000931,国寿安保尊益信用,丁宇佳,国寿安保,8.62亿元,100.0,100,74.0,84.4,5,5,5,5,2.99%,优秀,3.75%,优秀,7.16%,优秀,13.73%,优秀,15.91%,优秀,29.77%,优秀,80.0,90.0,70.0,70.0,80.0
002881,中加丰润纯债债券,张楠,中加,48.46亿元,100.0,42,69.0,75.60000000000001,5,5,5,5,1.86%,良好,1.02%,不佳,3.83%,一般,9.34%,良好,13.05%,优秀,19.91%,良好,70.0,75.0,65.0,70.0,85.0
003417,中加丰泽纯债债券,袁素,中加,45.67亿元,100.0,84,74.0,82.80000000000001,5,5,5,5,1.92%,良好,2.03%,良好,4.85%,良好,10.53%,优秀,13.19%,优秀,20.67%,良好,75.0,80.0,70.0,75.0,90.0
003102,长盛盛裕纯债A,王贵君,长盛,10.70亿元,100.0,100,77.0,86.19999999999999,5,5,5,5,2.35%,优秀,2.66%,优秀,5.85%,优秀,12.79%,优秀,18.07%,优秀,30.32%,优秀,80.0,85.0,75.0,75.0,80.0
003289,创金合信尊泰纯债,郑振源,创金合信,11.23亿元,100.0,78,82.0,86.99999999999999,5,5,5,5,1.45%,一般,1.87%,一般,5.70%,良好,12.30%,优秀,17.70%,优秀,22.19%,优秀,95.0,85.0,80.0,80.0,80.0
002550,嘉实稳荣债券,闵锐,嘉实,100.45亿元,100.0,92,75.5,84.5,5,5,5,5,1.69%,良好,2.14%,良好,5.37%,优秀,12.10%,优秀,14.61%,优秀,24.95%,优秀,80.0,85.0,70.0,75.0,95.0
004061,华夏鼎隆债券A,孙蕾,华夏,10.51亿元,100.0,84,81.5,87.30000000000001,5,5,5,5,1.36%,一般,1.76%,一般,5.26%,优秀,11.00%,优秀,14.17%,优秀,21.16%,优秀,95.0,80.0,80.0,80.0,80.0
675091,西部利得祥逸债券,易圣倩,西部利得,13.76亿元,100.0,78,73.0,81.6,5,5,5,5,1.49%,一般,1.65%,一般,4.39%,良好,10.11%,优秀,14.06%,优秀,22.00%,优秀,80.0,75.0,70.0,75.0,80.0
004907,长安泓沣中短债债,李坤,长安,4.50亿元,100.0,70,74.5,81.69999999999999,5,5,5,5,0.80%,良好,0.78%,不佳,2.85%,良好,8.42%,优秀,11.78%,优秀,18.35%,优秀,70.0,70.0,75.0,75.0,80.0
005853,财通聚利债券A,罗晓倩,财通,23.67亿元,100.0,40,76.5,79.9,5,5,5,5,1.31%,一般,1.29%,不佳,3.58%,不佳,9.53%,良好,13.09%,优秀,20.74%,优秀,85.0,75.0,75.0,75.0,80.0
