代码,简称,基金经理,基金公司,资产规模,评级评分,涨幅评分,业绩评分,综合评分,上海证券评级,招商证券评级,济安金信评级,晨星评级,近3月涨幅,近3月四分位,近6月涨幅,近6月四分位,近1年涨幅,近1年四分位,近2年涨幅,近2年四分位,近3年涨幅,近3年四分位,近5年涨幅,近5年四分位,选证能力,收益率,跟踪误差,超额收益,管理规模
006196,华夏中证央企ET,荣膺,华夏,3.78亿元,92.0,30,79.0,78.0,3,5,5,5,-5.48%,不佳,2.88%,不佳,18.13%,一般,4.38%,优秀,-0.83%,优秀,31.37%,优秀,75.0,80.0,80.0,80.0,80.0
160615,鹏华沪深300E,苏俊杰,鹏华,19.23亿元,76.0,48,78.0,74.39999999999999,3,5,5,3,-3.76%,一般,10.11%,一般,18.42%,一般,-5.68%,良好,-15.11%,良好,16.48%,良好,80.0,80.0,75.0,70.0,85.0
166802,浙商沪深300指,胡羿,浙商,2.26亿元,76.0,76,80.0,78.39999999999999,3,5,5,3,-2.91%,良好,11.99%,一般,22.34%,良好,-3.06%,良好,-13.54%,良好,23.91%,良好,90.0,85.0,70.0,80.0,75.0
161120,易方达中债新综指,杨真,易方达,10.64亿元,84.00000000000001,100,74.0,79.6,3,3,5,5,2.64%,优秀,3.02%,优秀,6.41%,优秀,11.53%,优秀,13.51%,优秀,22.13%,优秀,65.0,70.0,95.0,55.0,85.0
008238,中泰沪深300增,邹巍,中泰证券(上海)资管,1.87亿元,84.00000000000001,76,78.0,79.6,3,5,5,4,-3.35%,良好,11.58%,一般,20.78%,良好,-1.63%,良好,-9.32%,良好,---,,85.0,80.0,75.0,75.0,75.0
320014,诺安沪深300指,孔宪政,诺安,6.19亿元,84.00000000000001,78,80.0,81.0,3,5,5,4,-2.91%,良好,11.02%,一般,22.28%,良好,-1.10%,良好,-9.96%,良好,29.01%,优秀,90.0,80.0,70.0,80.0,80.0
003318,景顺长城中证50,曾理,景顺长城,9.35亿元,88.00000000000001,66,78.0,79.8,3,5,4,5,-0.45%,优秀,16.97%,良好,15.15%,一般,4.72%,优秀,-0.39%,优秀,44.35%,优秀,80.0,75.0,75.0,75.0,85.0
540012,汇丰晋信恒生龙头,刘禹良,汇丰晋信,2.91亿元,84.00000000000001,64,79.0,79.0,3,5,3,5,-5.08%,一般,7.50%,不佳,20.78%,良好,3.63%,优秀,-5.43%,优秀,19.18%,良好,80.0,85.0,75.0,75.0,80.0
163808,中银中证A100,赵建忠,中银,4.58亿元,76.0,64,79.0,76.60000000000001,3,5,5,3,-4.50%,一般,10.76%,一般,20.01%,良好,-4.97%,良好,-15.34%,良好,12.27%,一般,80.0,80.0,75.0,80.0,80.0
004513,海富通沪深300,朱斌全,海富通,9.09亿元,84.00000000000001,78,79.0,80.39999999999999,3,5,3,5,-2.32%,良好,12.04%,一般,25.16%,良好,0.25%,良好,-7.94%,优秀,26.78%,良好,85.0,85.0,65.0,80.0,80.0
202015,南方沪深300E,罗文杰,南方,26.66亿元,76.0,64,83.0,79.0,3,5,5,3,-3.73%,一般,10.70%,一般,19.69%,良好,-4.09%,良好,-13.61%,良好,10.99%,一般,85.0,80.0,80.0,80.0,90.0
161119,易方达中债新综指,杨真,易方达,70.60亿元,88.00000000000001,100,77.0,82.6,3,4,5,5,2.74%,优秀,3.17%,优秀,6.75%,优秀,12.30%,优秀,14.68%,优秀,24.25%,优秀,65.0,75.0,95.0,55.0,95.0
161039,富国中证1000,徐幼华,富国,9.91亿元,88.00000000000001,64,73.0,76.60000000000001,3,5,4,5,-0.14%,优秀,20.69%,良好,17.63%,一般,-3.50%,良好,-5.68%,优秀,51.33%,优秀,75.0,70.0,60.0,75.0,85.0
512960,博时央企结构调整,赵云阳,博时,54.04亿元,84.00000000000001,54,84.0,81.0,3,3,5,5,-5.72%,不佳,2.79%,不佳,18.93%,良好,5.07%,优秀,-0.47%,优秀,34.12%,优秀,75.0,80.0,85.0,85.0,95.0
006438,博时央调ETF联,赵云阳,博时,2.90亿元,88.00000000000001,30,78.0,76.2,3,4,5,5,-5.46%,不佳,2.36%,不佳,17.46%,一般,4.40%,优秀,-0.88%,优秀,31.35%,优秀,75.0,80.0,80.0,75.0,80.0
006197,华夏中证央企ET,荣膺,华夏,1.86亿元,84.00000000000001,30,78.0,75.0,3,3,5,5,-5.55%,不佳,2.72%,不佳,17.78%,一般,3.76%,优秀,-1.72%,优秀,29.41%,优秀,75.0,80.0,80.0,80.0,75.0
512950,华夏中证央企ET,荣膺,华夏,62.55亿元,88.00000000000001,54,85.0,82.80000000000001,3,4,5,5,-5.81%,不佳,2.87%,不佳,19.02%,良好,4.91%,优秀,-0.58%,优秀,33.72%,优秀,75.0,80.0,85.0,90.0,95.0
006439,博时央调ETF联,赵云阳,博时,0.18亿元,84.00000000000001,30,76.0,73.80000000000001,3,3,5,5,-5.55%,不佳,2.15%,不佳,16.99%,一般,3.56%,优秀,-2.07%,优秀,28.73%,优秀,75.0,80.0,80.0,75.0,70.0
006925,永赢中债1-3年,杨野,永赢,98.68亿元,84.00000000000001,64,85.0,82.60000000000001,3,3,5,5,1.58%,良好,2.01%,良好,4.61%,良好,8.02%,良好,10.06%,一般,17.30%,一般,75.0,70.0,85.0,100.0,95.0
007538,永赢沪深300E,刘庭宇,永赢,5.68亿元,76.0,72,80.0,78.0,3,5,5,3,-3.74%,一般,10.14%,一般,19.11%,良好,-3.30%,良好,-12.79%,良好,21.37%,良好,85.0,80.0,75.0,75.0,85.0
007275,银河沪深300指,罗博,银河,1.29亿元,84.00000000000001,78,79.0,80.39999999999999,3,5,5,4,-1.40%,良好,13.14%,一般,22.93%,良好,-0.75%,良好,-9.66%,良好,32.43%,优秀,85.0,85.0,70.0,80.0,75.0
007208,中邮中债1-3年,闫宜乘,中邮,2.08亿元,84.00000000000001,24,74.0,72.0,3,5,5,4,1.28%,一般,1.47%,一般,3.55%,一般,7.29%,一般,9.12%,一般,16.58%,一般,75.0,70.0,95.0,55.0,75.0
