代码,简称,单位净值,累计净值,日增长率,近1周,近1月,近3月,近6月,近1年,近2年,近3年,今年来,成立来
014418,西部利得CES芯片指数增强A,0.8116,0.8116,0.73%,0.57%,-1.01%,6.5%,40.17%,51.02%,20.02%,-10.04%,0.98%,-18.84%
014419,西部利得CES芯片指数增强C,0.8017,0.8017,0.74%,0.58%,-1.05%,6.4%,39.91%,50.44%,19.07%,-11.1%,0.97%,-19.83%
012319,东财消费电子增强A,0.877,0.877,2.11%,4.57%,4.05%,9.61%,29.58%,46.26%,18.43%,-15.35%,5.89%,-12.3%
012320,东财消费电子增强C,0.8684,0.8684,2.1%,4.56%,4.01%,9.52%,29.38%,45.83%,17.73%,-16.1%,5.86%,-13.16%
014193,汇添富中证芯片产业指数增强发起式A,0.8281,0.8281,0.72%,-0.06%,-1.99%,5.94%,35.22%,45.69%,16.39%,-6.15%,0.44%,-17.19%
014194,汇添富中证芯片产业指数增强发起式C,0.8204,0.8204,0.72%,-0.06%,-2.02%,5.86%,35.02%,45.25%,15.7%,-6.98%,0.42%,-17.96%
014854,嘉实中证半导体指数增强发起式A,1.2286,1.2286,0.53%,-0.1%,-3.31%,1.59%,30.16%,41.54%,6.62%,,0.43%,22.86%
014855,嘉实中证半导体指数增强发起式C,1.2202,1.2202,0.53%,-0.11%,-3.33%,1.51%,29.99%,41.19%,6.09%,,0.41%,22.02%
011832,西部利得人工智能主题指数增强A,0.9568,0.9568,2.1%,4.43%,-2.04%,7.42%,34.95%,40.6%,13.54%,-6.05%,1.3%,-4.32%
011833,西部利得人工智能主题指数增强C,0.9431,0.9431,2.1%,4.43%,-2.07%,7.32%,34.67%,40.03%,12.64%,-7.17%,1.28%,-5.69%
012321,东财云计算增强A,1.0312,1.0312,3.44%,5.55%,-2.46%,5.81%,38.19%,39.46%,19.34%,3.62%,0.94%,3.12%
012322,东财云计算增强C,1.0205,1.0205,3.44%,5.53%,-2.49%,5.72%,37.96%,39.03%,18.61%,2.69%,0.92%,2.05%
008072,景顺长城创业板综指增强A,1.4465,1.4465,2.1%,3.11%,-1.89%,3.84%,39.81%,35.2%,5.61%,-9.65%,1.69%,44.65%
019239,景顺长城创业板综指增强C,1.438,1.438,2.09%,3.1%,-1.92%,3.74%,39.54%,34.68%,,,1.66%,17.59%
012212,天弘中证高端装备制造指数增强A,0.8471,0.8471,1.36%,2.23%,-1.05%,2.72%,23.16%,32.75%,3.68%,-13.75%,0.47%,-15.29%
012213,天弘中证高端装备制造指数增强C,0.8394,0.8394,1.36%,2.24%,-1.07%,2.65%,22.99%,32.38%,3.07%,-14.51%,0.47%,-16.06%
016936,博时中证1000指数增强A,1.1221,1.1221,1.6%,2.25%,-1.02%,7.63%,33.92%,31.39%,,,1.44%,12.21%
016729,长信中证科创创业50指数增强A,1.0127,1.0127,1.23%,2.29%,-2.02%,1.01%,29.39%,31.04%,-5.05%,,-0.15%,1.27%
016937,博时中证1000指数增强C,1.1161,1.1161,1.61%,2.25%,-1.05%,7.54%,33.71%,31%,,,1.42%,11.61%
018177,华夏上证科创板50成份指数增强发起式A,1.0742,1.0742,0.85%,1.05%,-3.24%,1.11%,35.53%,30.47%,,,-0.99%,7.42%
016730,长信中证科创创业50指数增强C,1.0034,1.0034,1.22%,2.28%,-2.06%,0.91%,29.1%,30.43%,-5.89%,,-0.18%,0.34%
019918,招商中证2000指数增强A,1.2009,1.2009,1.56%,2.38%,0.87%,12.01%,43.85%,30.19%,,,4.06%,20.09%
018178,华夏上证科创板50成份指数增强发起式C,1.0678,1.0678,0.86%,1.05%,-3.27%,1%,35.25%,29.97%,,,-1.01%,6.78%
019919,招商中证2000指数增强C,1.1971,1.1971,1.56%,2.37%,0.83%,11.92%,43.62%,29.81%,,,4.03%,19.71%
015867,国泰君安中证1000指数增强A,1.0612,1.0612,1.74%,1.68%,-2.11%,7.91%,35.27%,29.27%,8.93%,,0.68%,6.12%
011667,东财高端制造增强A,0.8646,0.8646,1.42%,1.8%,-2.16%,-0.05%,19.97%,29.18%,-10.8%,-27.87%,-0.53%,-13.54%
011668,东财高端制造增强C,0.8548,0.8548,1.42%,1.81%,-2.17%,-0.12%,19.79%,28.79%,-11.34%,-28.51%,-0.55%,-14.52%
015868,国泰君安中证1000指数增强C,1.0509,1.0509,1.73%,1.67%,-2.15%,7.81%,35.01%,28.76%,8.06%,,0.65%,5.09%
017188,嘉实上证科创板50指数增强发起式A,1.0523,1.0523,1.03%,0.94%,-1.7%,3.95%,38.15%,28.75%,-2.06%,,-0.13%,5.23%
017189,嘉实上证科创板50指数增强发起式C,1.047,1.047,1.03%,0.94%,-1.72%,3.88%,37.98%,28.43%,-2.53%,,-0.15%,4.7%
019318,汇添富国证2000指数增强A,1.1346,1.1346,1.1%,1.19%,-0.85%,10.75%,37.74%,28.3%,,,1.06%,13.46%
019319,汇添富国证2000指数增强C,1.1291,1.1291,1.09%,1.18%,-0.88%,10.64%,37.46%,27.78%,,,1.04%,12.91%
010736,易方达沪深300指数增强A,0.7801,0.7801,0.45%,2.13%,-1.27%,-3.2%,9.92%,26.87%,-3.45%,-10.13%,-0.52%,-21.99%
