代码,简称,基金经理,基金公司,资产规模,评级评分,涨幅评分,业绩评分,综合评分,上海证券评级,招商证券评级,济安金信评级,晨星评级,近3月涨幅,近3月四分位,近6月涨幅,近6月四分位,近1年涨幅,近1年四分位,近2年涨幅,近2年四分位,近3年涨幅,近3年四分位,近5年涨幅,近5年四分位,选证能力,收益率,抗风险,稳定性,择时能力
630002,华商盛世成长混合,周海栋,华商,34.73亿元,100.0,78,72.0,80.99999999999999,5,5,5,5,-5.10%,一般,9.12%,一般,15.62%,良好,-1.20%,优秀,11.52%,优秀,81.58%,优秀,75.0,75.0,70.0,70.0,80.0
260112,景顺长城能源基建,鲍无可,景顺长城,34.88亿元,100.0,66,79.5,84.29999999999998,5,5,5,5,-3.13%,一般,1.56%,不佳,15.91%,良好,22.08%,优秀,34.32%,优秀,76.50%,优秀,80.0,85.0,80.0,80.0,70.0
290012,泰信行业精选混合,王博强,泰信,2.88亿元,100.0,56,55.5,68.89999999999999,5,5,5,5,-2.13%,一般,9.53%,良好,-4.20%,不佳,10.94%,优秀,20.21%,优秀,28.70%,良好,65.0,55.0,50.0,55.0,80.0
121001,国投瑞银融华债券,杨枫,国投瑞银,13.08亿元,100.0,72,87.5,89.7,5,5,5,5,0.88%,良好,2.65%,一般,8.37%,良好,10.65%,优秀,9.13%,优秀,16.41%,一般,90.0,80.0,90.0,90.0,75.0
000743,红塔红土盛世普益,赵耀,红塔红土,0.26亿元,100.0,90,84.0,89.4,5,5,5,5,4.93%,优秀,10.86%,良好,16.91%,良好,11.78%,优秀,21.33%,优秀,82.75%,优秀,85.0,85.0,85.0,80.0,80.0
000390,华商优势行业混合,周海栋,华商,74.04亿元,100.0,80,76.5,83.9,5,5,5,5,-4.13%,一般,9.65%,良好,16.98%,良好,-1.38%,良好,13.80%,优秀,103.59%,优秀,75.0,80.0,75.0,75.0,85.0
000573,天弘通利混合A,金梦,天弘,9.50亿元,100.0,88,78.5,85.89999999999999,5,5,5,5,-3.78%,一般,12.63%,良好,23.70%,优秀,10.33%,优秀,28.12%,优秀,57.29%,优秀,90.0,95.0,75.0,75.0,75.0
000522,华润元大信息传媒,刘宏毅,华润,2.08亿元,100.0,100,73.5,84.1,5,5,5,5,3.20%,优秀,19.69%,优秀,49.60%,优秀,57.01%,优秀,43.79%,优秀,62.50%,优秀,70.0,100.0,70.0,60.0,85.0
001302,前海开源金银珠宝,吴国清,前海开源,3.25亿元,100.0,60,70.0,78.0,5,5,5,5,-9.19%,不佳,-5.28%,不佳,21.05%,优秀,8.63%,优秀,22.46%,优秀,39.26%,优秀,75.0,75.0,70.0,65.0,65.0
090007,大成策略回报混合,徐彦,大成,35.15亿元,100.0,90,80.5,87.3,5,5,5,5,3.00%,优秀,15.27%,良好,20.73%,良好,18.39%,优秀,15.37%,优秀,77.18%,优秀,95.0,90.0,80.0,80.0,60.0
210002,金鹰红利价值混合,陈颖,金鹰,14.45亿元,100.0,100,70.0,82.0,5,5,5,5,4.30%,优秀,22.86%,优秀,27.13%,优秀,33.92%,优秀,42.03%,优秀,125.17%,优秀,70.0,80.0,65.0,70.0,90.0
002252,融通成长30灵活,范琨,融通,1.87亿元,100.0,66,78.0,83.39999999999999,5,5,5,5,-4.48%,一般,-1.81%,不佳,13.20%,良好,21.79%,优秀,18.13%,优秀,84.40%,优秀,75.0,80.0,80.0,80.0,65.0
483003,工银精选平衡混合,杨鑫鑫,工银,24.55亿元,100.0,82,79.5,85.89999999999999,5,5,5,5,-2.34%,良好,6.29%,一般,13.80%,良好,11.70%,优秀,10.16%,优秀,108.49%,优秀,85.0,85.0,80.0,80.0,65.0
003175,华泰柏瑞多策略混,董辰,华泰柏瑞,6.05亿元,100.0,72,72.5,80.7,5,5,5,5,-8.13%,不佳,4.32%,一般,23.22%,优秀,9.49%,优秀,23.47%,优秀,87.19%,优秀,85.0,85.0,70.0,75.0,60.0
001722,工银银和利混合,郭雪松,工银,4.30亿元,100.0,98,80.0,87.8,5,5,5,5,2.73%,优秀,8.81%,优秀,14.93%,优秀,6.29%,优秀,2.73%,良好,43.04%,优秀,85.0,85.0,80.0,80.0,70.0
003715,宝盈消费主题混合,杨思亮,宝盈,3.80亿元,100.0,82,80.5,86.5,5,5,5,5,0.66%,良好,6.94%,一般,13.26%,良好,7.98%,优秀,4.76%,优秀,65.09%,优秀,90.0,85.0,80.0,80.0,70.0
160323,华夏磐泰混合(L,张城源,华夏,5.53亿元,100.0,100,80.0,88.0,5,5,5,5,4.30%,优秀,13.24%,优秀,13.84%,优秀,19.96%,优秀,23.31%,优秀,51.67%,优秀,65.0,85.0,80.0,80.0,90.0
004316,前海开源沪港深裕,王霞,前海开源,7.30亿元,100.0,88,79.5,86.49999999999999,5,5,5,5,-2.90%,一般,9.68%,良好,32.50%,优秀,20.24%,优秀,18.56%,优秀,62.90%,优秀,90.0,95.0,80.0,75.0,55.0
003598,华商润丰灵活配置,胡中原,华商,5.66亿元,100.0,100,75.5,85.3,5,5,5,5,14.99%,优秀,51.49%,优秀,55.46%,优秀,43.03%,优秀,54.42%,优秀,166.41%,优秀,80.0,100.0,70.0,65.0,90.0
004206,华商元亨混合A,胡中原,华商,9.63亿元,100.0,100,82.5,89.5,5,5,5,5,13.02%,优秀,42.36%,优秀,49.11%,优秀,41.28%,优秀,51.29%,优秀,131.81%,优秀,75.0,100.0,80.0,70.0,100.0
