代码,简称,基金经理,基金公司,资产规模,评级评分,涨幅评分,业绩评分,综合评分,上海证券评级,招商证券评级,济安金信评级,晨星评级,近3月涨幅,近3月四分位,近6月涨幅,近6月四分位,近1年涨幅,近1年四分位,近2年涨幅,近2年四分位,近3年涨幅,近3年四分位,近5年涨幅,近5年四分位,选证能力,收益率,抗风险,稳定性,择时能力
540007,汇丰晋信中小盘股,郑小兵,汇丰晋信,2.01亿元,100.0,92,73.0,83.0,5,5,5,5,-2.90%,良好,12.47%,良好,25.12%,优秀,19.66%,优秀,18.89%,优秀,61.05%,优秀,80.0,85.0,70.0,70.0,75.0
001097,华泰柏瑞积极优选,王林军,华泰柏瑞,3.95亿元,100.0,86,79.5,86.29999999999998,5,5,5,5,-2.28%,良好,15.39%,良好,22.10%,良好,-4.20%,优秀,-2.81%,优秀,64.42%,优秀,95.0,80.0,80.0,75.0,65.0
001167,金鹰科技创新股票,陈颖,金鹰,17.79亿元,100.0,100,65.5,79.3,5,5,5,5,8.02%,优秀,31.32%,优秀,39.01%,优秀,44.99%,优秀,18.85%,优秀,141.77%,优秀,70.0,80.0,60.0,60.0,85.0
000979,景顺长城沪港深精,鲍无可,景顺长城,43.84亿元,100.0,66,87.0,88.79999999999998,5,5,5,5,-5.34%,一般,1.15%,不佳,19.02%,良好,24.99%,优秀,36.91%,优秀,82.70%,优秀,85.0,85.0,90.0,95.0,65.0
001678,英大国企改革A,张媛,英大,7.79亿元,100.0,40,78.0,80.8,5,5,5,5,-3.64%,一般,3.83%,不佳,9.33%,一般,-13.98%,良好,24.21%,优秀,87.03%,优秀,70.0,70.0,80.0,80.0,80.0
008134,鹏华优选价值股票,伍旋,鹏华,24.62亿元,100.0,76,84.5,88.29999999999998,5,5,5,5,-3.86%,一般,9.48%,一般,21.94%,良好,14.48%,优秀,10.45%,优秀,44.11%,良好,90.0,90.0,85.0,85.0,70.0
005310,广发电子信息传媒,冯骋,广发,17.67亿元,100.0,100,71.0,82.6,5,5,5,5,3.14%,优秀,23.39%,优秀,25.38%,优秀,21.77%,优秀,9.95%,优秀,75.27%,优秀,70.0,75.0,70.0,65.0,80.0
009069,大成睿鑫股票A,刘旭,大成,3.11亿元,100.0,92,88.5,92.3,5,5,5,5,-0.51%,良好,14.03%,良好,26.28%,优秀,12.13%,优秀,6.62%,优秀,---,,90.0,90.0,90.0,100.0,65.0
000628,大成高鑫股票A,刘旭,大成,92.59亿元,100.0,88,95.5,96.1,5,5,5,5,-1.30%,良好,9.83%,一般,29.20%,优秀,26.64%,优秀,15.50%,优秀,125.79%,优秀,95.0,95.0,100.0,100.0,65.0
001048,富国新兴产业股票,孙权,富国,31.99亿元,96.0,100,70.0,80.8,5,5,4,5,17.65%,优秀,47.07%,优秀,64.57%,优秀,30.97%,优秀,30.05%,优秀,92.94%,优秀,75.0,95.0,65.0,60.0,80.0
000893,工银创新动力股票,杨鑫鑫,工银,57.42亿元,92.0,78,86.0,87.0,5,5,5,4,-4.29%,一般,7.20%,一般,18.60%,良好,12.39%,优秀,13.07%,优秀,78.27%,优秀,85.0,85.0,90.0,85.0,65.0
160919,大成产业升级股票,王晶晶,大成,7.02亿元,96.0,86,86.5,89.29999999999998,5,4,5,5,-2.61%,良好,11.50%,良好,18.85%,良好,1.49%,优秀,-1.04%,优秀,93.36%,优秀,80.0,80.0,90.0,90.0,75.0
001208,诺安低碳经济股票,韩冬燕,诺安,6.96亿元,92.0,86,83.5,86.3,3,5,5,5,-3.50%,良好,11.58%,良好,22.37%,良好,-0.61%,优秀,6.55%,优秀,86.20%,优秀,80.0,85.0,85.0,80.0,80.0
001718,工银物流产业股票,张宇帆,工银,17.50亿元,96.0,88,91.0,92.2,5,5,4,5,-3.96%,一般,11.87%,良好,40.35%,优秀,7.80%,优秀,-5.81%,优秀,105.96%,优秀,100.0,95.0,95.0,80.0,65.0
001528,诺安先进制造股票,韩冬燕,诺安,4.29亿元,96.0,66,83.5,85.5,5,4,5,5,-4.46%,一般,3.70%,不佳,15.74%,良好,11.65%,优秀,2.29%,优秀,67.65%,优秀,80.0,80.0,85.0,90.0,75.0
006195,国金量化多因子股,马芳,国金,23.87亿元,96.0,62,62.0,72.2,4,5,5,5,-0.89%,良好,16.32%,良好,8.35%,一般,1.80%,优秀,21.69%,优秀,71.36%,优秀,65.0,70.0,55.0,70.0,85.0
005506,前海开源中药股票,范洁,前海开源,4.43亿元,92.0,30,71.0,73.2,5,3,5,5,-5.78%,一般,-4.16%,不佳,-1.72%,不佳,-15.96%,一般,-2.62%,优秀,37.59%,良好,70.0,70.0,70.0,75.0,75.0
002289,华商改革创新股票,刘力,华商,0.59亿元,96.0,100,80.0,86.8,5,5,4,5,4.96%,优秀,23.97%,优秀,33.33%,优秀,-0.94%,优秀,2.77%,优秀,55.66%,优秀,75.0,85.0,80.0,70.0,90.0
005505,前海开源中药股票,范洁,前海开源,5.27亿元,92.0,38,71.0,74.0,5,3,5,5,-5.72%,一般,-4.04%,不佳,-1.47%,不佳,-15.54%,良好,-1.88%,优秀,39.34%,良好,70.0,70.0,70.0,75.0,75.0
005161,华商上游产业股票,张文龙,华商,1.37亿元,96.0,54,76.0,79.80000000000001,5,4,5,5,-7.26%,不佳,3.52%,不佳,18.00%,良好,-0.81%,优秀,3.13%,优秀,124.11%,优秀,75.0,80.0,75.0,80.0,75.0
005660,嘉实资源精选股票,刘杰,嘉实,3.03亿元,92.0,72,72.0,78.0,3,5,5,5,-6.58%,一般,2.33%,不佳,23.71%,优秀,3.37%,优秀,10.07%,优秀,120.92%,优秀,75.0,80.0,70.0,75.0,70.0
001583,安信新常态股票A,袁玮,安信,4.25亿元,96.0,84,78.5,84.30000000000001,4,5,5,5,-5.09%,一般,8.15%,一般,22.68%,优秀,7.09%,优秀,0.46%,优秀,45.97%,优秀,90.0,85.0,80.0,80.0,50.0
007130,中庚小盘价值股票,陈涛,中庚,18.00亿元,92.0,52,71.0,75.4,5,5,5,4,-5.30%,一般,9.86%,一般,9.76%,一般,-12.29%,良好,-8.40%,优秀,99.15%,优秀,70.0,70.0,70.0,65.0,85.0
008303,宝盈龙头优选股票,吉翔,宝盈,7.87亿元,92.0,84,95.5,93.3,3,5,5,5,-4.15%,一般,6.34%,一般,28.77%,优秀,19.49%,优秀,12.80%,优秀,---,,95.0,95.0,100.0,100.0,65.0
008872,大成睿裕六月持有,朱倩,大成,0.09亿元,92.0,78,91.0,90.0,5,3,5,5,-3.64%,一般,8.21%,一般,22.20%,良好,5.24%,优秀,1.26%,优秀,---,,85.0,85.0,95.0,100.0,70.0
008871,大成睿裕六月持有,朱倩,大成,0.48亿元,96.0,88,91.0,92.2,5,4,5,5,-3.49%,良好,8.52%,一般,22.93%,优秀,6.51%,优秀,3.09%,优秀,---,,85.0,85.0,95.0,100.0,70.0
009070,大成睿鑫股票C,刘旭,大成,0.52亿元,92.0,92,88.5,89.9,5,3,5,5,-0.61%,良好,13.81%,良好,25.79%,优秀,11.26%,优秀,5.37%,优秀,---,,90.0,90.0,90.0,100.0,65.0
010341,招商产业精选股票,陆文凯,招商,21.59亿元,96.0,72,87.5,88.5,5,5,4,5,-8.42%,不佳,8.04%,一般,24.11%,优秀,21.50%,优秀,13.37%,优秀,---,,80.0,100.0,90.0,75.0,80.0
011066,大成高鑫股票C,刘旭,大成,39.43亿元,92.0,88,95.5,93.7,5,3,5,5,-1.40%,良好,9.68%,一般,28.78%,优秀,25.75%,优秀,14.18%,优秀,---,,95.0,95.0,100.0,100.0,65.0
011384,南方远见回报股票,李锦文,南方,0.90亿元,96.0,82,80.0,85.0,5,5,4,5,-3.38%,良好,6.91%,一般,20.24%,良好,11.60%,优秀,-0.38%,优秀,---,,85.0,90.0,80.0,80.0,65.0
001917,招商量化精选股票,王平,招商,22.20亿元,96.0,100,77.0,85.0,4,5,5,5,5.75%,优秀,25.76%,优秀,27.44%,优秀,18.83%,优秀,29.25%,优秀,133.31%,优秀,80.0,85.0,75.0,75.0,80.0
006675,宝盈品牌消费股票,杨思亮,宝盈,2.11亿元,96.0,84,88.5,90.3,5,5,4,5,-0.54%,良好,12.14%,良好,21.90%,良好,17.08%,优秀,13.28%,优秀,40.48%,良好,95.0,90.0,90.0,90.0,70.0
000688,景顺长城研究精选,张雪薇,景顺长城,28.65亿元,88.00000000000001,98,74.5,80.89999999999999,3,5,4,5,8.39%,优秀,29.31%,优秀,53.08%,优秀,27.46%,优秀,5.55%,优秀,25.47%,良好,80.0,95.0,70.0,70.0,80.0
000418,景顺长城成长之星,周寒颖,景顺长城,22.04亿元,92.0,78,84.0,85.8,5,4,4,5,-4.76%,一般,6.80%,一般,16.28%,良好,0.61%,优秀,-5.76%,优秀,67.10%,优秀,80.0,80.0,85.0,90.0,80.0
000729,建信中小盘先锋股,张湘龙,建信,9.97亿元,76.0,30,77.5,72.3,3,5,5,3,-7.30%,不佳,6.06%,一般,9.77%,一般,-22.27%,一般,-16.53%,良好,107.08%,优秀,70.0,70.0,80.0,80.0,75.0
001044,嘉实新消费股票,谭丽,嘉实,21.22亿元,92.0,58,77.0,79.6,5,4,4,5,0.04%,良好,9.57%,一般,12.99%,一般,8.52%,优秀,2.42%,优秀,68.65%,优秀,80.0,85.0,75.0,80.0,75.0
000916,前海开源股息率1,刘宏,前海开源,7.90亿元,80.0,58,80.5,78.1,5,4,5,3,-2.93%,良好,4.83%,一般,13.80%,一般,12.02%,优秀,6.51%,优秀,71.23%,优秀,80.0,85.0,80.0,90.0,70.0
001072,华安智能装备主题,李欣,华安,15.17亿元,84.00000000000001,100,79.5,82.9,5,5,3,4,1.40%,优秀,23.17%,优秀,41.00%,优秀,22.71%,优秀,3.07%,优秀,67.85%,优秀,75.0,90.0,80.0,70.0,80.0
000411,景顺长城优质成长,张仲维,景顺长城,3.67亿元,92.0,100,77.5,84.1,4,5,4,5,11.30%,优秀,34.85%,优秀,64.76%,优秀,23.45%,优秀,20.42%,优秀,60.71%,优秀,80.0,100.0,75.0,65.0,80.0
000586,景顺长城中小创精,张靖,景顺长城,4.14亿元,88.00000000000001,56,78.0,78.8,5,4,5,4,-1.66%,良好,8.99%,一般,11.27%,一般,1.58%,优秀,-7.69%,优秀,38.42%,良好,75.0,75.0,80.0,80.0,70.0
002952,建信多因子量化股,叶乐天,建信,0.30亿元,92.0,94,84.5,87.7,5,4,4,5,-0.47%,良好,20.66%,优秀,24.99%,优秀,4.50%,优秀,-5.88%,优秀,22.82%,良好,90.0,90.0,85.0,80.0,75.0
002872,华夏智胜价值成长,孙蒙,华夏,0.90亿元,88.00000000000001,94,75.5,81.10000000000001,4,3,5,5,2.75%,优秀,19.90%,优秀,15.20%,良好,2.91%,优秀,9.68%,优秀,64.86%,优秀,75.0,75.0,75.0,75.0,80.0
003298,嘉实物流产业股票,肖觅,嘉实,3.55亿元,72.0,42,79.0,73.2,5,4,5,2,-4.60%,一般,9.30%,一般,12.86%,一般,-18.10%,一般,-14.31%,良好,52.12%,优秀,90.0,85.0,80.0,80.0,55.0
000746,招商行业精选股票,李崟,招商,33.54亿元,92.0,92,94.0,93.2,4,5,4,5,-3.15%,良好,10.18%,良好,31.79%,优秀,29.14%,优秀,19.77%,优秀,81.86%,优秀,80.0,100.0,100.0,80.0,80.0
002334,汇丰晋信大盘波动,刘禹良,汇丰晋信,0.11亿元,72.0,44,82.0,75.2,5,4,5,2,-4.46%,一般,8.78%,一般,9.94%,一般,-0.57%,优秀,-5.78%,优秀,10.17%,一般,80.0,75.0,85.0,85.0,70.0
005661,嘉实资源精选股票,刘杰,嘉实,2.33亿元,84.00000000000001,60,72.0,74.4,3,3,5,5,-6.70%,不佳,2.07%,不佳,23.10%,优秀,2.35%,优秀,8.44%,优秀,115.51%,优秀,75.0,80.0,70.0,75.0,70.0
001628,招商体育文化休闲,文仲阳,招商,3.02亿元,72.0,68,62.0,65.6,5,5,4,2,1.08%,优秀,30.08%,优秀,13.81%,一般,10.44%,优秀,-18.25%,良好,49.80%,优秀,70.0,80.0,55.0,55.0,85.0
006692,金信消费升级股票,杨超,金信,0.61亿元,88.00000000000001,52,79.0,79.0,5,4,3,5,-1.04%,良好,11.57%,良好,6.70%,一般,-16.94%,一般,-4.57%,优秀,68.33%,优秀,80.0,85.0,80.0,75.0,70.0
005970,国泰消费优选股票,李海,国泰,2.83亿元,92.0,90,79.5,84.3,5,4,4,5,-0.49%,良好,20.02%,优秀,20.37%,良好,3.88%,优秀,7.35%,优秀,56.96%,优秀,80.0,85.0,80.0,75.0,75.0
006693,金信消费升级股票,杨超,金信,0.80亿元,84.00000000000001,52,78.5,77.50000000000001,5,3,3,5,-1.24%,良好,11.13%,良好,5.85%,一般,-18.26%,一般,-6.82%,优秀,61.76%,优秀,80.0,80.0,80.0,75.0,70.0
007950,招商量化精选股票,王平,招商,19.49亿元,88.00000000000001,100,77.0,82.6,4,3,5,5,5.60%,优秀,25.39%,优秀,26.67%,优秀,17.41%,优秀,26.95%,优秀,126.41%,优秀,80.0,85.0,75.0,75.0,80.0
007287,合煦智远消费主题,杨志勇,合煦智远,0.02亿元,92.0,28,78.5,77.5,5,4,4,5,-5.99%,一般,1.69%,不佳,6.26%,一般,-12.89%,良好,-14.57%,良好,2.72%,一般,80.0,75.0,80.0,80.0,70.0
007832,博道伍佰智航股票,杨梦,博道,4.62亿元,84.00000000000001,100,73.5,79.30000000000001,3,3,5,5,4.25%,优秀,23.56%,优秀,22.95%,优秀,7.06%,优秀,-1.27%,优秀,49.12%,优秀,75.0,80.0,70.0,75.0,85.0
007831,博道伍佰智航股票,杨梦,博道,2.12亿元,88.00000000000001,100,73.5,80.5,3,4,5,5,4.33%,优秀,23.75%,优秀,23.31%,优秀,7.71%,优秀,-0.38%,优秀,51.37%,优秀,75.0,80.0,70.0,75.0,85.0
006676,宝盈品牌消费股票,杨思亮,宝盈,1.95亿元,88.00000000000001,84,88.5,87.9,5,3,4,5,-0.75%,良好,12.59%,良好,21.89%,良好,16.13%,优秀,11.46%,优秀,36.03%,良好,95.0,90.0,90.0,90.0,70.0
920003,中金新锐股票A,朱剑胜,中金公司,17.79亿元,88.00000000000001,63,75.5,78.0,5,4,5,4,-4.58%,一般,5.11%,一般,14.65%,良好,-17.62%,一般,-9.27%,优秀,---,,75.0,80.0,75.0,70.0,80.0
008261,招商研究优选股票,梁辰,招商,2.36亿元,88.00000000000001,88,94.5,91.9,4,5,3,5,-1.20%,良好,8.57%,一般,27.00%,优秀,13.48%,优秀,3.35%,优秀,---,,80.0,90.0,100.0,100.0,75.0
920923,中金新锐股票C,朱剑胜,中金公司,3.83亿元,84.00000000000001,63,75.5,76.8,5,3,5,4,-4.70%,一般,4.85%,一般,14.08%,良好,-18.44%,一般,-10.63%,优秀,---,,75.0,80.0,75.0,70.0,80.0
